sender_frequency,keyword_score,thread_length,response_deadline_hours,attachment_count,previous_priority_rate,target
5,25.13,3,14.21,4,42.63,1
3,83.17,4,7.79,3,46.67,1
4,54.33,5,1.0,2,61.66,0
1,52.13,2,17.34,3,87.23,0
1,25.65,3,18.33,4,78.44,0
1,39.24,7,24.66,3,0.6,0
5,33.69,3,11.39,4,49.73,1
2,26.53,1,3.05,5,45.5,1
2,34.52,3,1.65,4,6.14,1
4,34.29,2,28.13,2,69.42,0
0,47.08,0,28.21,0,47.05,0
3,83.72,2,27.58,2,34.13,0
0,87.02,3,1.0,5,68.49,0
1,66.27,6,7.09,7,29.9,1
5,32.23,0,4.48,1,35.24,1
3,53.18,2,8.93,0,54.63,0
2,81.81,2,20.16,0,36.82,0
3,70.14,2,1.0,3,47.79,0
5,33.0,1,5.48,3,69.14,0
5,71.01,4,13.51,2,59.52,0
1,44.22,2,8.6,6,33.3,1
5,48.49,5,3.34,2,20.92,0
1,49.05,3,11.05,1,52.25,0
2,48.63,2,10.24,2,33.51,0
3,43.92,0,1.0,6,52.02,1
8,28.56,3,17.16,4,27.89,1
2,62.67,10,5.94,1,67.79,1
1,53.81,3,15.33,3,49.95,0
5,68.92,5,8.86,2,56.49,1
3,51.56,2,6.35,4,56.61,0
6,59.45,2,7.12,4,31.28,1
6,31.86,3,8.26,3,51.71,1
3,23.3,4,14.48,3,77.63,1
3,19.49,0,2.26,4,19.86,1
3,53.61,2,11.33,2,68.89,1
2,54.16,6,9.22,3,39.29,1
3,11.73,5,1.0,1,36.99,1
2,34.03,6,17.17,4,46.45,1
5,37.19,2,11.56,3,35.63,0
1,53.87,2,4.06,2,86.74,0
0,43.78,2,4.65,2,60.04,1
1,73.68,1,15.05,1,92.91,0
1,51.56,4,21.47,3,77.3,1
3,63.09,3,6.86,2,39.42,0
1,42.74,4,7.76,4,53.86,0
2,34.8,5,20.54,3,57.99,0
3,48.16,3,5.12,4,44.02,1
0,41.29,4,6.08,3,86.39,1
3,64.01,1,1.0,0,72.67,0
1,64.27,4,7.87,1,66.91,0
1,52.0,3,25.56,3,55.0,0
2,68.23,6,17.47,2,59.29,0
1,31.06,2,7.6,3,32.1,0
3,39.89,2,8.93,1,53.52,0
1,35.98,5,25.19,2,92.79,0
3,51.68,4,10.38,1,61.62,0
6,55.18,2,10.47,1,49.37,0
0,55.74,4,5.24,4,31.16,1
2,56.77,4,4.38,3,38.26,1
6,65.1,3,9.62,1,40.35,1
3,57.73,5,1.0,2,8.5,1
4,59.76,2,21.06,4,47.27,1
1,73.99,4,16.13,2,16.28,0
2,18.01,4,10.14,3,63.57,1
5,46.52,3,4.91,1,56.62,0
6,72.49,4,10.66,9,64.33,1
1,43.93,4,12.22,3,54.18,1
2,56.15,3,16.31,0,55.17,1
3,51.1,1,1.0,3,94.24,0
2,42.94,1,2.92,3,72.32,0
5,53.69,6,8.61,1,7.03,1
5,46.68,5,1.0,3,52.98,1
4,43.82,3,1.0,2,67.85,1
4,42.48,0,5.11,4,55.71,1
1,61.32,4,6.86,3,38.18,1
3,82.34,3,4.81,6,42.04,1
4,46.18,5,1.12,1,51.45,0
3,61.17,3,6.3,2,61.27,1
8,67.48,8,1.0,2,61.73,1
1,57.87,2,2.67,5,29.32,1
0,29.71,6,3.42,1,44.05,0
3,43.42,2,16.04,1,68.7,1
7,35.83,1,16.57,3,44.96,0
2,41.33,2,23.57,2,69.22,1
4,39.12,7,13.19,4,36.75,1
2,42.07,2,8.53,3,96.34,0
3,30.11,5,3.04,2,44.59,1
2,12.56,1,14.46,1,61.5,0
1,43.13,3,3.44,2,88.79,0
2,47.79,1,10.91,3,36.69,1
1,55.14,1,16.32,5,32.56,1
5,43.12,3,1.0,0,54.84,0
2,41.79,5,1.0,3,26.36,1
1,18.69,3,2.44,0,75.69,0
4,19.59,2,8.76,3,37.07,1
1,31.6,2,1.03,3,17.26,0
1,60.57,4,7.48,3,70.39,0
3,81.28,1,13.62,4,31.99,0
1,50.52,4,1.0,6,60.26,0
3,59.88,2,10.06,2,33.89,0
2,41.34,1,4.71,2,48.9,1
3,32.78,4,21.1,1,27.03,1
2,46.29,5,1.79,2,64.62,0
1,72.23,4,19.22,7,56.16,0
0,58.77,4,10.17,3,100.0,0
4,53.2,3,4.53,4,89.75,1
1,27.31,2,4.88,0,51.42,0
1,67.19,3,1.79,1,34.01,0
2,67.38,1,2.69,3,69.22,1
3,65.73,6,2.71,4,58.66,1
1,56.64,0,1.21,1,67.96,0
4,57.74,5,10.93,1,46.3,0
2,62.05,1,1.0,3,39.28,1
2,54.02,1,4.85,3,82.95,0
4,45.79,5,7.55,3,70.09,0
1,26.77,1,5.63,2,82.96,0
0,64.69,7,15.98,4,46.96,0
8,44.0,5,15.44,3,52.37,1
4,38.83,1,16.36,1,21.4,1
3,38.01,2,23.96,3,32.9,1
2,48.72,3,3.69,3,56.87,1
3,43.64,3,16.33,1,50.32,0
2,23.83,4,22.47,6,54.64,1
4,63.68,4,12.25,5,42.18,1
1,61.36,1,1.16,2,71.74,0
2,50.77,3,16.43,1,42.88,0
2,61.68,5,1.0,3,61.88,1
2,27.39,2,10.35,2,54.06,1
10,41.78,5,4.46,3,56.03,1
2,86.59,4,7.99,4,63.2,0
2,64.67,4,4.16,1,55.82,0
0,28.95,2,1.0,5,71.38,1
2,67.51,2,4.22,4,53.94,1
2,55.32,7,7.54,1,51.64,1
1,44.25,4,23.97,4,31.86,0
4,42.43,3,15.16,4,25.45,0
3,56.58,4,11.12,3,60.21,0
1,41.19,3,1.0,2,25.48,1
1,34.38,4,2.43,4,29.47,0
5,68.32,4,13.76,5,15.47,1
3,68.85,2,14.07,2,47.17,0
4,41.05,3,10.65,2,68.46,0
5,62.24,2,3.4,0,42.62,1
3,31.02,5,13.27,3,13.29,1
3,44.43,2,4.3,2,74.63,0
8,35.65,3,26.08,3,43.33,1
0,41.48,4,16.75,0,62.01,1
5,76.36,2,2.8,0,45.93,0
2,36.73,1,11.04,1,61.6,0
5,76.9,4,8.07,2,39.08,1
4,36.54,3,1.0,3,47.49,1
3,60.72,1,10.34,1,65.04,0
4,44.05,5,4.28,3,44.4,1
3,40.4,6,1.0,1,68.18,0
4,76.64,2,19.39,2,63.92,0
1,55.57,6,15.22,4,40.05,0
0,16.27,3,17.32,4,65.32,0
2,23.46,2,1.0,2,8.96,1
3,52.64,1,9.03,3,90.04,0
2,60.54,3,8.69,1,61.51,0
1,38.83,5,6.21,2,46.72,1
4,28.66,2,1.0,3,69.75,1
3,13.53,2,4.86,4,39.53,1
0,68.48,1,12.56,3,70.26,0
5,54.43,3,13.14,3,31.0,0
5,35.43,3,14.5,2,55.72,1
1,52.04,3,18.3,3,74.24,0
3,22.25,3,12.43,3,69.88,0
3,45.27,4,5.8,0,25.18,1
1,65.95,4,1.0,1,67.05,1
4,22.14,4,15.38,4,35.12,1
2,59.13,0,7.26,5,38.92,0
5,16.8,1,3.65,6,64.97,1
0,40.93,5,23.13,3,21.7,1
6,24.08,0,30.74,2,100.0,0
3,50.14,2,14.76,4,57.54,1
3,53.5,2,12.11,3,43.51,1
4,66.15,2,3.27,4,13.39,0
0,51.71,3,5.12,4,62.75,1
6,21.07,4,4.53,4,70.97,1
3,24.49,0,16.0,6,72.49,1
3,67.96,3,17.64,3,59.12,1
1,77.93,2,1.0,1,85.87,0
2,28.42,0,19.26,5,57.9,0
3,80.5,3,8.32,3,32.18,1
2,47.23,3,1.0,4,38.6,1
2,47.25,1,2.81,4,75.66,0
1,66.59,3,17.27,6,60.41,0
3,64.76,5,9.49,2,66.74,0
6,46.12,1,13.51,3,37.72,1
1,46.69,3,6.09,2,74.93,1
9,94.74,2,5.86,1,28.65,1
2,88.69,4,14.51,2,32.47,0
6,95.07,1,14.02,3,49.67,0
1,53.58,2,3.82,3,83.59,0
4,80.62,0,10.52,5,45.49,0
3,66.33,0,11.32,4,71.94,0
4,58.67,6,6.28,2,57.07,1
1,23.72,4,1.0,0,29.24,1
5,76.94,1,14.92,1,62.39,0
1,72.74,2,17.11,2,10.32,0
2,34.65,4,8.9,3,35.65,0
2,69.6,4,21.25,2,85.07,0
4,84.72,1,15.41,1,48.93,0
1,60.68,2,9.84,4,23.57,0
3,100.0,5,30.69,3,48.8,0
3,52.84,3,9.76,3,30.66,0
2,54.94,3,20.29,0,9.61,0
1,43.38,1,20.5,5,44.79,0
1,44.3,1,21.03,2,46.5,0
7,56.57,3,9.83,1,50.54,0
5,42.86,2,19.88,5,40.86,1
3,50.85,5,12.51,5,58.41,1
1,80.96,3,14.57,3,26.19,0
3,25.69,2,9.57,2,41.38,1
3,13.93,3,13.96,3,49.32,0
4,60.05,2,13.21,2,30.5,0
6,37.38,1,7.04,1,82.32,1
3,49.35,3,3.22,2,26.18,0
1,52.72,6,14.68,4,58.65,1
5,32.35,4,20.17,2,58.25,1
4,66.9,4,11.28,0,33.34,1
3,48.02,1,3.27,3,51.24,1
0,73.69,3,11.86,2,31.9,1
2,54.17,3,8.09,1,71.79,1
1,39.75,4,7.98,1,47.41,0
1,49.87,5,21.56,1,48.29,0
2,54.97,0,22.28,3,68.81,0
9,28.88,4,10.69,3,53.67,1
4,42.34,2,19.23,4,63.38,1
1,42.3,1,5.98,3,41.97,0
1,45.2,4,17.28,3,25.33,0
8,50.89,2,13.3,0,69.64,1
5,46.81,4,20.2,2,32.47,0
3,46.38,3,7.17,5,40.48,1
4,41.84,3,24.79,3,49.31,1
6,14.46,0,5.45,1,69.75,1
4,73.17,4,1.0,7,52.56,1
3,43.1,3,10.09,2,62.45,0
1,71.8,2,14.15,1,70.1,0
4,59.06,1,11.34,2,51.61,0
3,60.75,3,9.14,3,45.22,0
3,39.08,3,6.67,7,46.72,1
1,41.39,1,1.0,3,35.08,1
5,45.15,2,16.42,6,62.56,0
3,20.67,3,1.0,3,54.46,1
8,20.93,5,12.65,7,51.09,1
2,81.32,5,5.24,1,39.08,0
5,39.36,2,7.28,1,7.46,1
3,29.64,2,7.13,7,88.52,0
4,48.79,5,6.68,4,48.06,1
3,66.26,1,12.03,3,53.83,0
3,65.1,5,12.14,2,74.78,0
4,62.36,1,25.89,1,46.79,0
1,69.03,3,2.08,4,45.01,0
3,83.71,4,7.73,1,29.61,1
2,63.6,3,13.95,10,38.88,1
3,84.44,0,13.83,3,54.79,0
2,42.14,0,14.48,4,63.21,0
4,66.85,4,9.37,2,33.17,1
5,44.97,5,7.51,7,37.04,1
2,49.42,2,9.56,4,65.97,1
5,49.72,2,14.5,4,49.34,1
3,66.61,5,11.88,4,46.34,1
2,43.78,5,7.88,2,65.19,0
0,92.54,6,18.3,2,58.79,0
0,77.05,4,23.57,5,44.85,0
4,39.6,2,9.92,2,60.94,0
4,43.08,1,14.11,4,67.5,0
2,32.52,4,1.0,5,70.57,1
6,40.35,4,12.88,2,73.59,1
5,71.16,0,14.98,1,24.0,0
3,28.29,4,6.54,0,53.06,1
3,46.83,5,14.47,4,70.48,0
2,63.5,1,3.73,2,77.77,0
1,47.24,6,8.87,4,55.79,1
7,36.59,1,14.14,3,48.82,1
4,32.66,3,1.0,1,54.84,0
2,69.74,2,9.35,6,82.16,0
4,61.89,7,3.5,4,46.95,1
4,6.0,2,1.0,2,50.68,0
1,77.31,6,11.97,2,20.9,1
1,33.26,6,13.18,2,100.0,0
4,37.41,2,7.51,1,50.18,0
5,63.46,1,10.38,2,54.57,0
5,79.35,3,2.33,5,39.65,0
6,55.78,1,17.04,0,38.26,1
1,27.63,4,16.57,2,24.16,1
8,66.09,4,1.0,3,36.64,1
2,27.41,7,6.17,1,33.86,1
6,23.89,4,1.0,0,62.93,1
2,43.7,3,13.43,5,49.08,1
5,55.23,3,13.33,2,44.08,0
4,58.55,7,7.97,4,50.52,1
1,62.3,1,1.77,2,53.83,0
3,5.87,3,10.37,3,51.24,1
3,33.29,2,2.85,1,60.56,0
4,45.54,4,9.3,4,49.13,1
1,30.08,5,5.17,2,19.79,1
2,16.34,5,1.0,1,38.31,1
3,43.77,5,1.0,1,47.72,1
8,53.37,2,7.16,4,58.32,1
3,16.58,4,7.92,1,38.33,1
6,58.99,3,1.0,2,49.89,1
0,11.27,4,14.57,4,38.15,1
