temperature,vibration,pressure,runtime_hours,maintenance_gap_days,power_draw,target
70.27,5.56,94.93,18.86,44,348.61,0
77.52,3.94,111.78,5.21,4,95.38,0
84.54,3.97,99.06,1.0,15,61.16,0
67.64,1.84,130.27,10.6,6,198.25,1
95.11,5.32,93.62,8.94,59,171.07,1
63.78,4.94,116.36,9.93,27,595.44,0
69.92,3.47,88.03,17.87,28,338.07,0
79.21,4.62,91.87,12.93,54,132.95,1
69.27,2.5,114.73,15.59,12,126.53,0
73.56,3.21,93.23,1.0,26,37.88,1
45.66,3.41,94.08,26.95,57,23.72,1
82.67,4.35,101.6,1.0,1,97.37,0
73.93,7.41,103.47,1.0,25,161.7,0
43.47,3.43,100.2,5.8,34,254.26,0
56.57,3.41,49.71,9.47,30,602.14,0
72.84,3.06,123.56,17.74,12,278.34,1
73.43,2.21,86.38,13.67,12,134.52,1
58.18,3.68,132.77,19.66,53,222.77,1
82.48,2.11,57.99,14.79,18,296.96,0
58.49,4.72,75.55,15.02,26,281.93,0
79.41,7.11,101.14,9.63,9,1940.66,0
86.44,4.18,102.02,10.08,44,71.72,1
65.98,5.84,100.08,18.41,59,98.4,1
87.58,5.33,85.7,18.41,18,117.41,1
70.98,4.08,105.74,4.84,37,327.6,1
72.26,0.98,116.44,4.22,45,687.57,1
78.22,2.05,99.03,14.56,15,174.48,1
64.95,4.07,86.04,8.29,20,126.16,0
76.46,2.41,110.01,14.76,34,80.12,1
57.63,4.03,91.62,11.85,50,440.56,0
91.04,3.01,146.57,25.76,23,77.25,0
66.5,5.69,120.0,1.0,16,148.52,1
65.68,5.75,95.87,3.72,60,136.46,1
61.83,1.37,89.62,10.91,33,142.26,1
54.38,4.48,140.76,14.05,35,631.12,0
78.15,0.1,90.1,14.95,50,137.03,0
59.32,3.63,66.96,2.79,37,244.46,0
64.73,2.97,72.51,16.05,56,32.81,1
71.67,5.93,115.71,8.12,36,249.28,0
77.97,2.82,109.28,5.95,38,330.02,1
66.51,5.34,88.63,1.0,36,84.3,0
67.3,2.76,85.64,8.29,17,159.66,1
52.21,5.04,102.12,12.55,43,92.66,0
73.36,3.34,112.17,3.25,57,127.53,1
67.77,4.88,98.15,9.02,26,254.89,0
84.93,6.12,100.64,1.0,16,137.18,1
85.12,3.76,83.51,6.9,42,119.11,1
62.53,5.95,87.46,12.97,15,161.15,0
77.07,4.51,101.58,11.18,55,156.16,1
55.07,3.08,86.76,8.65,53,232.06,0
59.86,2.91,106.12,15.0,21,189.6,0
78.6,4.92,75.63,7.39,3,121.39,0
93.22,6.23,92.55,1.0,49,168.9,1
74.64,3.96,79.68,4.63,11,403.15,0
69.23,4.61,105.87,5.24,8,151.94,1
68.35,3.19,103.24,7.53,0,1197.27,0
46.01,1.98,97.29,25.99,42,97.16,0
65.4,5.49,82.66,20.44,39,55.91,0
50.59,4.72,90.7,6.44,43,68.98,1
83.43,5.61,124.34,10.32,21,302.7,0
50.6,6.0,90.92,10.84,32,179.01,0
56.55,4.06,88.44,1.0,41,253.39,1
75.54,3.63,83.37,1.01,20,358.25,0
74.24,3.97,123.42,21.39,57,215.59,1
78.64,3.83,123.12,23.06,52,270.77,1
30.32,4.3,105.55,16.58,51,267.61,0
62.43,0.1,84.01,9.12,32,232.36,1
73.74,4.53,86.34,15.13,56,243.68,0
67.56,3.32,87.22,8.42,38,227.33,1
75.85,3.1,93.6,16.11,28,114.89,1
74.07,5.44,89.99,7.26,26,76.9,1
72.2,3.92,94.16,6.26,7,103.8,1
87.16,4.39,110.2,7.52,6,115.77,1
86.77,5.52,100.41,9.89,32,110.04,0
85.46,3.7,120.26,14.27,4,51.66,1
66.87,2.11,119.81,22.34,19,113.6,0
78.38,3.65,105.86,6.8,46,57.81,1
80.58,5.54,78.66,1.57,29,186.76,1
74.45,1.51,97.13,25.87,46,131.76,1
98.27,4.14,113.25,2.38,48,89.88,1
82.61,1.92,113.26,22.47,42,104.06,1
81.55,4.01,75.23,6.28,4,168.32,1
75.17,6.66,102.46,17.1,2,418.24,0
75.3,1.87,81.76,2.95,37,146.07,0
68.98,3.07,86.0,7.63,44,423.09,0
74.94,4.54,102.12,3.14,32,82.8,0
44.57,4.89,86.63,8.96,29,220.52,1
55.37,4.0,98.17,19.44,25,87.36,0
67.23,2.39,105.01,12.95,25,243.14,0
49.82,2.99,110.48,11.81,3,95.19,1
70.02,4.76,120.81,13.73,39,401.98,0
89.38,3.51,104.82,1.0,48,61.15,1
59.67,1.77,80.31,14.79,41,371.23,0
47.72,2.31,68.05,17.21,13,94.25,0
72.89,4.3,105.79,7.0,43,181.34,0
67.36,4.77,103.53,14.97,23,90.74,0
56.92,2.49,98.97,6.4,37,170.49,1
67.0,4.12,90.43,8.0,18,119.74,1
72.68,5.95,130.62,15.61,10,70.82,1
86.8,4.5,89.44,8.99,60,310.81,1
96.75,4.87,92.27,1.0,32,77.08,0
72.32,1.04,72.44,2.01,24,167.77,0
39.41,5.15,119.05,1.0,34,129.96,0
94.08,6.98,89.33,10.61,46,81.5,1
80.23,1.53,130.62,8.25,23,160.57,0
58.82,4.05,84.51,1.41,60,106.83,1
55.03,7.62,88.93,18.22,52,74.77,0
80.62,1.4,79.73,17.71,4,47.86,0
77.7,3.02,110.49,8.4,59,130.97,1
88.06,1.74,91.39,13.22,46,78.82,1
68.4,5.15,101.27,1.0,41,83.49,0
80.36,3.72,101.74,5.63,17,230.21,0
77.21,5.33,113.75,19.15,22,122.35,0
86.35,5.01,112.64,9.13,15,164.22,0
77.25,5.36,66.6,9.48,47,220.99,1
70.22,3.0,100.09,8.52,48,80.61,1
72.14,5.98,112.16,12.64,39,192.97,0
78.87,6.54,134.43,5.44,28,76.57,1
51.28,4.7,119.38,22.84,55,246.26,1
73.84,5.9,119.66,1.0,7,653.7,0
83.09,3.83,120.78,26.03,12,69.64,1
59.19,2.72,113.38,9.11,6,76.79,1
70.8,1.92,89.61,1.0,57,233.25,1
72.53,4.38,109.89,12.88,35,142.35,1
66.84,4.75,93.19,10.31,33,67.11,0
77.93,3.77,118.99,8.44,34,106.28,1
64.12,3.95,96.79,20.57,14,767.64,0
58.48,6.52,98.79,6.47,36,100.73,1
60.0,3.45,110.15,1.0,4,334.4,1
42.49,3.07,114.53,16.14,57,51.69,0
65.36,6.5,99.89,6.91,6,136.02,1
65.34,3.18,96.78,1.0,39,343.36,0
93.32,3.93,99.58,14.92,33,135.93,1
66.15,3.78,79.32,13.66,26,67.23,0
58.26,3.25,124.04,14.19,48,225.06,0
80.32,2.58,95.27,22.5,53,124.98,0
65.24,2.99,140.24,3.24,46,251.71,1
85.12,1.22,84.61,17.34,46,150.53,1
78.0,4.14,122.15,1.0,11,292.87,1
79.9,3.85,111.66,5.53,33,267.52,1
63.73,2.57,138.09,17.09,8,71.58,1
81.29,6.58,119.17,1.48,60,232.65,1
70.93,3.42,134.5,1.0,16,62.94,1
62.78,0.77,98.23,15.12,51,224.62,0
64.24,3.22,63.66,1.0,3,185.01,1
88.76,3.7,111.89,6.56,27,240.59,1
54.6,3.11,78.61,18.63,46,24.52,0
76.76,3.09,78.64,1.0,16,53.8,0
72.98,3.65,91.86,3.65,22,203.28,0
71.12,3.66,101.36,6.33,40,183.88,1
77.78,4.96,133.18,1.0,22,193.47,1
72.9,1.23,110.8,1.05,56,76.52,1
68.81,8.35,83.71,14.47,15,123.47,0
75.89,4.15,114.34,4.95,51,175.6,1
38.95,4.24,97.41,1.0,9,61.85,1
80.55,2.63,114.2,24.14,60,298.54,1
58.03,1.02,81.29,12.84,49,82.23,1
68.3,3.2,70.17,15.73,23,204.95,0
66.0,5.09,135.61,8.93,41,346.96,0
58.5,5.97,111.4,16.92,40,147.5,0
90.19,5.81,91.65,6.12,54,110.21,1
78.78,6.28,108.02,20.3,2,311.92,1
85.47,2.65,116.05,11.53,54,75.79,1
52.17,1.01,93.96,19.05,51,323.88,0
76.84,4.82,86.99,2.75,21,212.22,1
61.73,2.52,109.43,32.68,56,61.01,1
83.23,3.41,50.76,13.91,31,146.23,0
91.42,1.84,93.55,4.39,1,108.28,1
84.28,0.1,77.8,10.51,3,345.32,1
58.52,5.38,82.47,1.0,38,42.29,1
78.02,1.37,102.42,15.39,5,379.76,0
69.76,7.86,75.83,4.08,23,280.94,0
53.61,5.36,92.77,4.26,46,156.96,0
77.69,3.92,121.36,3.25,52,44.83,1
72.38,3.33,100.5,3.69,57,64.29,1
74.47,2.06,97.04,9.15,21,167.62,0
83.12,0.98,47.3,5.92,58,198.0,0
66.35,2.89,113.24,18.11,41,243.29,0
71.92,5.83,70.89,1.0,13,63.28,1
58.66,3.01,103.93,17.96,6,204.14,0
69.6,1.01,108.55,6.08,50,72.26,0
71.34,4.94,88.4,8.69,7,32.87,0
41.83,3.2,111.26,1.0,1,86.91,0
54.57,4.85,67.12,14.5,14,169.12,0
77.18,2.79,89.37,17.1,47,211.21,1
62.37,3.06,72.97,5.41,33,170.87,1
62.7,3.84,106.29,1.0,16,377.71,0
68.17,3.26,118.34,8.76,13,45.43,0
76.77,8.37,123.18,8.73,51,125.96,0
81.83,3.98,112.64,1.0,20,100.69,1
63.42,3.39,103.6,19.6,20,57.88,0
58.59,5.75,97.36,1.0,31,161.74,0
80.47,5.37,99.89,23.66,58,165.03,0
72.76,2.14,101.35,18.26,49,248.44,1
62.06,3.9,90.27,21.07,40,136.45,0
88.75,4.88,114.84,17.52,47,103.4,1
52.52,2.79,103.01,13.93,51,195.76,1
60.03,5.55,123.69,17.95,6,47.65,0
76.66,4.83,126.02,18.65,43,98.52,1
60.49,3.78,100.4,11.62,4,116.84,0
67.17,6.75,98.82,8.85,9,93.18,0
68.69,4.49,114.25,9.35,39,434.74,0
55.52,3.46,117.18,12.54,50,245.9,1
71.79,5.06,104.77,13.36,20,79.22,0
62.13,2.89,86.78,1.0,43,127.53,1
67.81,2.6,58.11,1.0,5,44.29,0
49.91,4.8,71.8,13.94,32,123.58,0
54.61,4.93,117.17,17.27,51,272.07,0
77.6,3.24,101.8,19.31,5,49.81,1
54.77,3.38,108.57,6.65,39,759.39,0
69.41,3.49,95.79,15.73,38,134.75,0
79.8,2.85,103.05,6.52,8,20.73,1
83.61,4.52,89.94,13.14,2,42.56,0
65.29,4.37,79.3,16.83,37,186.34,0
57.67,2.63,93.28,15.31,18,91.58,1
45.37,5.88,97.79,27.87,0,73.83,0
82.25,3.86,98.4,7.1,37,119.67,1
53.01,6.26,88.78,1.0,9,260.79,0
76.61,5.8,91.75,11.85,9,170.89,1
55.68,7.74,113.99,12.94,31,202.39,0
54.39,0.1,76.41,14.55,22,126.36,0
78.04,5.36,92.12,24.37,12,274.37,1
85.11,1.03,71.83,12.35,15,275.12,1
58.31,2.35,102.34,9.31,2,29.36,1
63.96,3.43,106.27,10.37,0,155.46,1
64.54,1.86,73.47,12.41,39,186.89,0
53.9,3.25,106.27,3.71,44,197.24,0
69.06,5.44,106.92,15.06,17,143.42,1
68.72,7.67,117.56,13.27,32,303.04,0
65.46,3.08,123.43,15.57,46,125.88,1
56.28,3.23,122.87,18.26,60,76.4,1
77.52,3.06,93.59,15.83,54,529.55,1
77.59,2.9,130.54,1.0,49,30.41,1
76.42,4.78,114.22,17.62,6,242.77,1
75.5,6.3,111.91,13.31,17,310.23,1
75.89,5.7,84.96,4.82,0,108.37,0
68.05,1.0,115.78,25.62,40,81.94,1
60.79,2.27,99.68,14.17,38,226.3,0
73.9,2.11,116.82,16.61,10,104.77,1
64.58,6.04,102.55,7.82,17,41.98,0
56.03,2.37,98.47,2.19,59,99.55,1
65.04,3.44,93.95,15.35,25,121.09,0
61.24,4.51,88.49,21.93,58,86.63,0
69.03,1.01,86.12,19.78,46,219.09,0
74.95,3.87,105.38,4.07,56,44.28,1
78.66,6.23,99.85,7.56,16,78.26,0
75.43,2.52,72.62,1.0,16,365.32,0
52.32,2.65,113.11,19.3,56,97.55,0
63.78,4.47,80.89,1.0,35,171.49,1
68.42,2.7,102.52,1.0,60,379.82,1
81.13,6.4,74.23,4.2,4,339.42,0
67.57,4.19,87.4,12.8,52,247.76,0
75.63,5.67,77.77,19.25,44,115.13,1
75.42,1.15,106.09,3.14,29,228.19,1
50.78,6.16,87.24,15.13,5,292.04,0
61.22,3.89,99.63,4.71,29,332.51,0
55.28,5.03,107.67,7.09,28,184.89,1
76.09,2.7,125.09,20.95,54,570.28,1
95.59,3.15,90.17,13.22,31,129.29,1
74.78,3.58,114.16,9.57,21,188.15,1
75.07,3.27,90.13,1.0,35,76.71,0
83.74,3.98,92.75,16.95,53,94.37,1
76.28,6.33,109.56,29.92,18,349.04,0
63.31,4.67,100.56,20.84,46,450.76,0
82.94,0.1,103.02,9.19,53,35.14,1
64.24,4.99,99.19,10.33,24,153.72,0
44.15,0.89,76.79,10.85,46,248.52,0
79.18,5.9,86.29,8.74,10,106.75,1
53.86,3.73,85.09,1.0,26,244.75,0
67.61,3.95,132.56,11.93,57,66.01,1
67.18,3.29,100.19,18.42,19,79.24,1
86.39,7.3,102.76,9.73,4,60.95,1
68.04,0.48,85.88,13.17,34,115.35,1
65.05,3.68,133.18,11.12,43,189.92,1
74.42,4.29,99.45,10.8,47,168.28,1
82.14,5.6,101.93,13.1,50,158.04,0
75.64,2.37,109.29,4.96,37,92.46,1
57.75,5.35,93.45,8.3,8,380.54,0
54.09,2.37,151.58,16.43,15,457.98,1
90.67,3.08,103.27,17.52,11,259.53,1
72.06,5.31,99.3,3.12,55,320.2,1
60.87,2.27,101.24,14.18,41,244.34,0
104.39,3.62,84.92,19.74,56,105.64,1
56.05,7.07,80.14,13.11,58,302.89,0
35.01,2.61,114.72,5.38,34,155.04,0
68.82,0.1,84.6,12.97,19,67.43,0
60.71,4.98,83.04,7.15,54,56.88,1
59.44,3.49,101.37,4.67,38,164.63,0
77.94,6.51,128.68,10.52,1,272.49,0
79.41,5.54,103.01,6.68,8,432.02,1
62.67,1.25,101.44,8.63,17,305.96,1
83.62,6.6,113.12,16.45,52,101.65,0
66.26,3.27,120.03,14.43,29,136.37,0
85.98,3.86,92.46,23.25,19,158.53,0
83.02,4.95,114.47,13.78,22,154.88,1
70.42,4.45,77.58,4.77,13,152.16,0
86.07,6.29,82.88,7.13,49,124.47,0
82.97,6.78,76.26,18.96,52,62.31,1
74.09,1.89,81.7,3.27,2,70.84,1
83.83,2.01,68.68,12.22,45,34.61,0
93.68,2.04,114.01,1.0,2,87.78,0
73.07,2.52,120.45,1.52,56,101.72,1
73.25,5.86,71.91,1.82,20,201.23,1
79.12,7.33,86.89,11.39,54,119.78,1
54.49,4.5,119.11,1.0,4,118.08,0
49.8,2.43,97.66,1.0,45,161.28,1
68.38,4.46,73.17,5.09,7,52.33,0
66.53,4.89,115.64,3.05,9,359.17,0
70.31,6.62,98.9,5.11,3,131.12,0
57.91,3.37,89.91,3.05,40,147.94,1
82.27,4.86,80.62,9.63,1,116.79,0
63.41,2.13,84.44,13.29,15,79.67,0
49.41,3.37,100.4,6.83,6,314.13,0
57.81,3.18,89.77,25.6,57,283.47,1
65.81,1.71,113.1,11.55,26,130.65,1
88.36,5.46,103.59,2.62,60,327.31,1
50.58,1.98,111.74,6.11,19,273.37,0
66.96,5.58,120.27,1.0,4,123.64,0
68.36,6.09,83.18,10.21,52,113.83,1
72.76,3.36,69.02,16.51,34,92.69,0
88.14,0.64,92.68,11.19,31,166.95,1
44.19,2.23,67.21,20.42,25,91.84,0
61.64,2.53,86.39,3.55,30,218.01,1
73.93,4.43,108.05,13.47,29,100.79,1
82.65,4.3,95.44,2.97,36,116.07,1
79.92,0.91,68.19,13.08,25,187.23,1
56.0,3.49,110.82,1.0,58,168.52,1
52.88,1.98,87.8,30.12,53,131.8,1
83.78,4.81,79.65,9.44,47,53.14,1
74.97,3.07,99.76,12.92,22,597.62,0
70.72,6.14,112.11,10.16,14,46.7,1
68.17,3.24,103.76,15.7,8,90.67,0
64.47,2.75,123.62,18.25,50,455.77,0
65.84,1.06,110.33,19.03,37,207.33,1
58.52,3.07,87.38,3.72,6,31.5,1
82.82,3.93,79.45,10.74,16,78.1,0
43.29,4.23,64.46,8.87,53,226.74,0
77.54,3.36,108.86,18.37,0,113.38,1
70.57,5.89,91.94,1.28,27,284.77,1
46.42,4.46,114.23,10.74,45,68.53,1
73.05,3.0,105.29,13.56,53,100.85,0
83.46,4.57,111.47,10.04,58,104.68,1
91.99,4.66,100.16,14.89,20,127.01,1
61.41,6.05,85.3,5.51,34,39.16,1
79.92,0.86,96.75,6.94,50,285.3,1
77.84,4.64,113.38,7.81,54,95.3,1
82.34,5.79,75.74,6.93,31,68.46,0
79.68,6.11,89.25,10.38,38,120.82,0
59.49,1.85,88.22,4.93,32,188.1,1
63.2,5.12,65.16,10.13,60,268.67,1
70.63,6.48,108.03,14.78,54,57.06,1
91.73,5.44,87.59,20.49,26,100.32,0
63.08,4.64,115.15,23.78,55,325.08,0
66.48,7.05,118.97,9.43,56,45.24,0
60.83,4.94,82.01,27.64,17,76.76,1
63.74,4.4,97.02,11.54,53,554.7,0
68.33,4.22,125.67,1.0,26,209.63,1
83.48,4.76,81.69,8.68,36,165.1,0
88.76,3.95,103.08,11.22,9,249.23,1
62.37,3.53,68.01,18.99,18,125.69,0
76.02,6.64,65.89,9.11,27,195.14,0
82.41,3.32,131.73,3.23,21,68.31,1
67.81,2.88,91.74,9.4,2,94.97,1
73.04,1.08,94.41,6.24,37,224.54,1
79.51,6.89,85.16,6.91,0,362.58,1
76.02,0.85,94.81,3.11,18,288.77,0
69.33,3.76,73.47,5.14,26,272.19,1
56.79,0.76,76.16,10.96,3,60.22,0
93.96,5.29,114.55,8.54,22,98.93,0
54.56,4.79,136.94,1.0,26,80.3,1
83.76,4.93,85.43,23.52,52,129.05,0
82.15,7.5,98.5,1.0,26,94.26,1
60.09,3.6,124.23,3.67,4,557.98,0
74.88,6.3,134.8,1.0,5,356.05,1
61.3,4.99,86.63,8.07,34,452.33,0
77.2,4.71,111.83,19.22,19,202.26,0
84.67,2.56,93.22,7.51,25,291.34,1
70.14,3.1,96.55,5.44,37,131.31,1
67.49,4.28,96.39,14.41,23,48.13,1
87.76,4.15,102.61,9.78,49,117.54,1
69.94,3.3,109.52,10.28,43,253.11,0
80.28,4.13,92.85,12.78,22,253.78,0
72.07,1.54,98.56,1.0,39,93.16,1
82.6,4.29,126.43,13.13,34,219.51,1
59.08,2.75,93.09,12.3,29,99.79,0
73.67,6.43,112.46,11.74,11,193.34,1
67.59,3.11,109.02,7.88,16,241.77,0
73.91,3.29,87.69,18.16,44,66.27,1
83.81,4.08,109.19,15.95,34,236.25,0
75.75,2.54,92.39,14.23,2,42.78,1
72.47,5.15,122.12,1.71,16,97.4,1
78.7,0.43,111.74,19.42,57,64.12,1
56.12,0.21,75.02,12.86,58,148.83,1
71.05,3.68,105.86,8.18,52,104.52,1
80.3,0.87,126.57,3.04,2,122.48,0
54.63,3.78,100.61,14.44,43,122.11,1
72.11,4.57,81.44,12.58,51,183.46,0
72.38,5.28,113.61,1.0,13,227.55,0
57.95,4.56,96.39,14.62,22,77.94,0
60.0,3.89,77.88,7.03,15,58.19,0
73.36,5.67,84.59,16.79,6,273.8,0
60.54,5.17,93.13,16.58,42,247.47,0
57.08,4.11,104.3,19.83,17,251.46,0
60.94,5.7,109.74,6.22,35,221.6,0
56.01,2.84,103.35,23.27,25,302.61,0
69.82,4.39,118.34,23.48,1,113.53,0
68.22,0.29,102.25,8.32,22,305.05,1
94.9,4.19,101.11,21.26,16,162.97,0
37.66,4.82,104.91,14.46,32,156.04,1
73.41,6.53,94.24,7.81,12,133.32,0
71.88,1.8,128.33,11.07,18,209.56,1
78.68,4.76,104.39,10.67,2,121.27,0
69.65,6.6,111.02,3.87,23,297.27,0
90.47,3.58,84.75,1.0,7,268.12,1
49.75,6.5,87.98,5.56,40,639.69,0
36.18,4.16,83.79,21.71,41,353.89,0
63.66,6.07,110.31,10.1,54,132.1,1
83.69,7.4,102.82,18.01,52,118.51,1
46.13,2.05,92.92,25.15,41,74.37,0
86.61,4.64,100.68,1.48,9,210.69,1
